iter	Passed	Remaining
0	48	48096
1	48	24329
2	49	16459
3	50	12564
4	51	10192
5	51	8596
6	52	7450
7	53	6595
8	53	5928
9	54	5394
10	55	5029
11	56	4665
12	57	4373
13	58	4105
14	58	3865
15	59	3653
16	59	3463
17	60	3296
18	61	3170
19	62	3040
20	62	2914
21	63	2802
22	63	2699
23	64	2603
24	64	2532
25	65	2451
26	65	2376
27	66	2305
28	66	2239
29	67	2179
30	67	2122
31	68	2068
32	68	2018
33	69	1972
34	69	1926
35	70	1883
36	70	1843
37	71	1805
38	71	1771
39	72	1737
40	72	1705
41	73	1674
42	74	1649
43	74	1620
44	75	1592
45	75	1567
46	76	1541
47	76	1517
48	76	1494
49	77	1472
50	77	1451
51	78	1430
52	78	1410
53	79	1391
54	80	1375
55	80	1357
56	81	1341
57	81	1324
58	82	1308
59	82	1292
60	82	1277
61	83	1262
62	83	1248
63	84	1234
64	84	1221
65	85	1208
66	85	1195
67	86	1183
68	86	1172
69	87	1160
70	87	1149
71	88	1138
72	88	1127
73	89	1116
74	89	1107
75	90	1097
76	90	1088
77	91	1079
78	91	1069
79	92	1060
80	92	1051
81	93	1043
82	93	1032
83	93	1024
84	94	1017
85	94	1009
86	95	1001
87	95	993
88	96	986
89	96	979
90	97	972
91	97	964
92	98	958
93	98	951
94	99	944
95	99	938
96	100	932
97	100	925
98	101	919
99	101	913
100	102	908
101	102	902
102	102	896
103	103	891
104	103	886
105	104	880
106	104	875
107	105	870
108	105	865
109	106	860
110	106	855
111	107	850
112	107	845
113	108	841
114	108	836
115	109	831
116	109	827
117	110	822
118	110	818
119	111	814
120	111	809
121	111	805
122	112	801
123	112	797
124	113	792
125	113	789
126	114	784
127	114	781
128	115	778
129	115	774
130	116	770
131	116	766
132	117	763
133	117	759
134	118	756
135	118	753
136	119	750
137	119	747
138	120	744
139	120	740
140	121	737
141	121	734
142	121	730
143	122	727
144	122	724
145	123	721
146	123	719
147	124	716
148	124	713
149	125	710
150	126	708
151	126	705
152	126	702
153	127	700
154	127	697
155	128	694
156	128	692
157	129	689
158	129	686
159	130	683
160	130	681
161	131	678
162	131	676
163	132	673
164	132	671
165	133	669
166	133	667
167	134	665
168	134	662
169	135	661
170	135	658
171	136	656
172	136	654
173	137	651
174	137	649
175	138	647
176	138	645
177	139	643
178	139	641
179	140	639
180	140	636
181	141	634
182	141	632
183	142	630
184	142	628
185	143	626
186	143	624
187	144	622
188	144	620
189	145	618
190	145	616
191	145	614
192	146	612
193	146	610
194	147	608
195	147	606
196	148	605
197	148	603
198	149	601
199	150	600
200	150	599
201	151	598
202	151	596
203	152	594
204	152	592
205	153	590
206	153	589
207	154	587
208	154	586
209	155	584
210	155	582
211	156	581
212	156	579
213	157	577
214	157	575
215	158	574
216	158	572
217	159	570
218	159	569
219	160	567
220	160	565
221	160	564
222	161	562
223	161	560
224	162	559
225	162	557
226	163	556
227	163	554
228	164	552
229	164	551
230	165	550
231	165	548
232	166	547
233	166	546
234	167	544
235	167	543
236	168	542
237	168	540
238	169	539
239	169	538
240	170	536
241	170	535
242	171	533
243	171	532
244	172	530
245	172	529
246	173	528
247	173	526
248	174	525
249	174	523
250	175	522
